scheme,theta,mu,dt,steps,status,final_residual,runtime_s,overshoot,oscillatory,min_u,max_u
Explicit (FTCS),0.0,0.25,2.441406e-04,713,CONVERGED,9.975735e-06,0.011,False,False,0.000000,1.000000
Explicit (FTCS),0.0,0.5,4.882812e-04,1743,CONVERGED,9.987637e-06,0.026,False,True,0.000000,1.000000
Explicit (FTCS),0.0,1.0,9.765625e-04,16,UNSTABLE: Solution exceeded threshold 1000000.0,inf,0.000,True,False,-893803.000000,893804.000000
Explicit (FTCS),0.0,2.5,2.441406e-03,8,UNSTABLE: Solution exceeded threshold 1000000.0,inf,0.000,True,False,-473450.875000,473451.875000
Explicit (FTCS),0.0,10.0,9.765625e-03,5,UNSTABLE: Solution exceeded threshold 1000000.0,inf,0.000,True,False,-311760.000000,311761.000000
Explicit (FTCS),0.0,100.0,9.765625e-02,3,UNSTABLE: Solution exceeded threshold 1000000.0,inf,0.000,True,False,-29800.000000,29801.000000
Explicit (FTCS),0.0,1000.0,9.765625e-01,2,UNSTABLE: Solution exceeded threshold 1000000.0,inf,0.000,True,False,-999.000000,1000.000000
Crank-Nicolson,0.5,0.25,2.441406e-04,713,CONVERGED,9.998830e-06,0.024,False,False,0.000000,1.000000
Crank-Nicolson,0.5,0.5,4.882812e-04,495,CONVERGED,9.999092e-06,0.017,False,False,0.000000,1.000000
Crank-Nicolson,0.5,1.0,9.765625e-04,320,CONVERGED,9.967169e-06,0.011,False,False,0.000000,1.000000
Crank-Nicolson,0.5,2.5,2.441406e-03,167,CONVERGED,9.813065e-06,0.006,False,True,0.000000,1.000000
Crank-Nicolson,0.5,10.0,9.765625e-03,89,CONVERGED,9.376831e-06,0.003,False,True,0.000000,1.000000
Crank-Nicolson,0.5,100.0,9.765625e-02,880,CONVERGED,9.978522e-06,0.030,False,True,0.000000,1.000000
Crank-Nicolson,0.5,1000.0,9.765625e-01,8794,CONVERGED,9.994589e-06,0.296,True,True,-0.003708,1.000000
Implicit (BE),1.0,0.25,2.441406e-04,714,CONVERGED,9.994411e-06,0.024,False,False,0.000000,1.000000
Implicit (BE),1.0,0.5,4.882812e-04,496,CONVERGED,9.984934e-06,0.017,False,False,0.000000,1.000000
Implicit (BE),1.0,1.0,9.765625e-04,321,CONVERGED,9.970767e-06,0.011,False,False,0.000000,1.000000
Implicit (BE),1.0,2.5,2.441406e-03,168,CONVERGED,9.930850e-06,0.006,False,False,0.000000,1.000000
Implicit (BE),1.0,10.0,9.765625e-03,59,CONVERGED,9.526139e-06,0.002,False,False,0.000000,1.000000
Implicit (BE),1.0,100.0,9.765625e-02,12,CONVERGED,6.602243e-06,0.000,False,False,0.000000,1.000000
Implicit (BE),1.0,1000.0,9.765625e-01,5,CONVERGED,1.595233e-06,0.000,False,False,0.000000,1.000000
